ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
13.3;Poissons et batraciens cuits;26234;Julienne ou Lingue, cuite;                 447;                 105;                 447;                 105;                73.9;                24.5;                24.5;traces;                0.82;0;-;0;0;                1.21;0;0;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;< 0.00018;                64.9;                0.21;                  13;                 117;                0.02;                0.14;                  49;                  31;< 0.01;                 180;                 330;                  60;                84.3;                0.62;< 21;-;-;-;< 0.8;-;0;               0.024;                0.01;                2.26;                0.22;                0.22;                19.5;                0.78
13.3;Poissons et batraciens cuits;26247;Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur;                 722;                 173;                 722;                 173;                68.8;                17.3;                17.3;traces;                11.6;0;-;0;0;                1.07;0;0;                2.07;                7.38;                0.98;< 0.0052;< 0.0052;< 0.0052;< 0.0052;                0.01;                0.49;                1.27;                0.21;                1.81;                 0.1;               0.031;               0.021;                0.34;                0.34;                68.1;                0.36;                 8.6;                 133;                0.02;                0.07;< 20;                  21;< 0.01;                 160;                 240;                  60;                 143;                0.36;< 21;-;-;-;< 0.8;-;-;                0.03;                0.02;                0.66;                0.16;               0.041;< 5;                0.69
13.3;Poissons et batraciens cuits;27000;Anguille, rôtie/cuite au four;                 955;                 229;                 955;                 229;                59.3;                23.6;                23.6;traces;                  15;0;-;0;0;                 1.8;0;0;                3.02;                9.22;                1.21;0;0;0;0;0;                0.74;                2.03;                0.25;-;-;-;-;                0.17;                0.28;                 161;                0.16;                  26;-;               0.029;                0.64;                   8;                  26;                0.04;                 277;                 349;-;                  65;                2.08;                1140;0;-;-;-;-;                 1.8;                0.18;               0.051;                4.49;                0.28;               0.077;                  17;                2.89
13.3;Poissons et batraciens cuits;27001;Anguille, bouillie/cuite à l'eau;                 820;                 197;                 820;                 197;                  62;                20.5;                20.5;traces;                12.7;0;-;0;0;-;0;0;                3.28;                6.38;                 1.8;-;-;-;-;-;-;-;-;-;-;-;-;                0.24;                0.47;-;-;-;-;               0.029;-;                   8;-;                0.04;-;-;                  28;-;                2.08;-;0;-;                 5.1;-;-;-;-;-;-;-;-;-;-
13.3;Poissons et batraciens cuits;27002;Brochet, rôti/cuit au four;                 425;                 100;                 425;                 100;                74.7;                23.1;                23.1;traces;                0.88;0;-;0;0;                1.54;0;0;                0.15;                0.21;                0.27;-;-;-;-;               0.001;               0.023;                 0.1;               0.023;-;-;-;-;               0.088;                0.18;                  50;                0.12;                  73;-;               0.058;                0.71;                  12;                  40;                0.28;                 282;                 331;-;                  49;                0.77;                  24;0;                 2.7;-;-;-;                 3.8;               0.067;               0.077;                 2.8;                0.81;                0.14;                  16;                2.15
13.3;Poissons et batraciens cuits;27004;Carpe, rôtie/cuite au four;                 633;                 151;                 633;                 151;                69.6;                21.6;                21.6;traces;                7.17;0;-;0;0;                1.87;0;0;                1.27;                2.74;                1.69;-;-;-;-;-;                0.15;                0.84;                0.24;-;-;-;-;                0.19;                 0.1;                  84;                0.16;                  52;-;                0.12;                1.59;                   6;                  38;                0.23;                 531;                 427;                20.2;                  63;                1.58;                  10;0;                3.25;-;-;-;                 1.6;                0.14;                0.07;                 2.1;                0.87;                0.22;                  17;                1.47
13.3;Poissons et batraciens cuits;27005;Perche, rôtie/cuite au four;                 503;                 119;                 503;                 119;                73.7;                22.1;                22.1;traces;                3.42;0;-;0;0;                0.97;0;0;                0.85;                 0.2;                0.26;-;-;-;-;              0.0024;               0.073;                0.51;                0.19;                 0.2;               0.023;               0.021;               0.039;               0.036;                0.14;                82.4;               0.096;                  73;-;               0.058;                0.71;< 5;                  26;                0.28;                 105;                 331;                  26;                38.3;                0.77;                  24;0;                   9;                1.32;-;-;                 3.8;                0.09;               0.077;                2.98;                0.81;                0.13;                  16;                0.83
13.3;Poissons et batraciens cuits;27006;Truite, rôtie/cuite au four;                 766;                 183;                 766;                 183;                63.4;                26.6;                26.6;traces;                8.47;0;-;0;0;                 1.5;0;0;                1.47;                4.17;                1.92;-;-;-;-;-;                0.24;                1.05;                0.19;-;-;-;-;                0.28;                0.66;                  74;                0.17;                  55;-;                0.14;                1.92;                   6;                  28;                0.56;                 314;                 463;                   3;                  67;                0.71;                  19;0;-;-;-;-;                 0.5;                0.43;                0.42;                5.77;                2.24;                0.23;                  15;                7.49
13.3;Poissons et batraciens cuits;27007;Truite, cuite à la vapeur;                 419;                99.4;                 419;                99.4;                  75;                  19;                  19;traces;                 2.6;0;-;0;0;-;0;0;                0.54;                0.74;                1.06;-;-;-;-;-;-;-;-;-;-;-;-;                0.29;                0.64;-;-;-;-;                0.03;-;                   6;-;               0.027;-;-;                   3;-;                0.56;-;0;-;-;-;-;-;-;-;-;-;-;-;-
13.3;Poissons et batraciens cuits;27014;Truite arc en ciel, élevage, rôtie/cuite au four;                 617;                 147;                 617;                 147;                68.7;                21.5;                21.5;traces;                 6.8;0;-;0;0;                1.43;0;0;                1.71;                2.23;                2.06;0;0;0;0;              0.0058;                0.22;                1.02;                 0.1;                1.91;                0.79;                 0.2;               0.021;                 0.3;                0.65;                56.9;                0.13;                60.5;                  65;                0.03;                0.33;                   4;                28.3;               0.027;                 270;                 381;                2.85;                53.3;                0.59;                 9.5;0;                  19;                2.79;                 0.1;-;                 2.9;                0.14;                0.11;                6.65;                1.99;                0.39;                  12;                4.11
13.3;Poissons et batraciens cuits;27015;Truite arc en ciel, élevage, cuite à la vapeur;                 493;                 117;                 493;                 117;                  75;                  20;                  20;traces;                4.14;0;-;0;0;-;0;0;                0.86;                 1.4;                1.46;-;-;-;-;-;-;-;-;-;-;-;-;                0.17;                0.68;-;-;-;-;                0.03;-;                   8;-;               0.027;-;-;                   3;-;                0.56;-;0;-;-;-;-;-;-;-;-;-;-;-;-
13.3;Poissons et batraciens cuits;27030;Bar commun ou loup, rôti/cuit au four;                 590;                 141;                 590;                 141;                69.7;                20.8;                20.8;traces;                 6.4;0;-;0;0;                1.37;0;0;                1.27;                2.36;                2.14;< 0.0029;< 0.0029;< 0.0029;< 0.0029;< 0.0029;                0.17;                0.85;                0.18;                1.72;                0.84;                0.22;                0.04;                0.31;                0.52;                48.2;                 0.2;                  11;                 119;                0.05;                0.28;< 20;                  30;                0.01;                 220;                 410;< 50;                80.8;                0.42;< 21;-;-;                0.97;< 0.8;-;-;               0.097;                0.08;                3.49;                0.53;                0.26;                12.6;                3.27
13.4;Poissons et crustacés panés ou en beignets;10002;Calmar ou Calamar ou encornet, à la romaine (beignet);                1050;                 252;                1050;                 252;                51.5;                8.69;                8.69;                21.2;                14.4;                2.58;                18.6;                1.66;0;                 2.6;0;0;                1.77;                3.45;                4.66;-;-;-;-;               0.011;               0.022;                0.92;                0.47;                3.45;                4.04;               0.036;-;               0.048;               0.089;                  90;                2.13;                32.1;                 845;< 0.1;< 1;                 328;                20.4;                0.11;                 236;                88.8;< 3;                 852;< 1;< 2;< 50;< 0.2;                 1.8;-;-;0;< 0.05;                 1.1;                0.56;                 0.3;< 0.05;                11.5;                 1.2
13.4;Poissons et crustacés panés ou en beignets;10012;Langoustine, panée, frite;                1210;                 288;                1210;                 288;                39.5;                12.5;                12.5;                  29;                13.6;traces;                  29;traces;0;                2.12;0;0;                 1.5;                 4.1;                 7.3;-;-;-;-;-;-;-;-;-;-;-;-;                0.24;                0.06;                 110;                1.65;-;                 610;                0.16;                 1.7;                  41;                  24;                0.35;                 310;                 130;                  17;                 660;                 0.6;0;0;0;0;-;-;0;                0.11;                0.04;                 1.2;                0.26;                0.09;0;                   1
13.4;Poissons et crustacés panés ou en beignets;10023;Beignet de crevette;                 930;                 222;                 930;                 222;                54.2;                 6.5;                 6.5;                  26;                  10;                  11;-;                   1;0;                2.38;0;0;                 0.5;                7.09;                0.79;-;-;-;-;-;-;-;-;-;-;-;-;                0.06;               0.051;-;                 1.9;                  77;                1000;-;                   1;                  22;                18.1;-;-;                 102;                41.7;                 770;                 0.5;traces;-;-;-;-;-;-;-;-;-;-;-;-;-
13.4;Poissons et crustacés panés ou en beignets;25433;Accra de poisson;                1140;                 275;                1140;                 275;                49.5;                12.4;                12.4;                15.1;                17.6;                2.55;                12.6;                   3;0;                 2.3;0;0;                 2.3;                9.46;                4.75;< 0.011;< 0.011;< 0.011;< 0.011;< 0.011;               0.092;                1.17;                0.51;                9.34;                4.43;               0.069;               0.014;               0.016;               0.033;                68.8;                1.24;                55.3;                 743;< 0.1;                 1.1;                  20;                  18;                 0.3;                 110;                 216;                  18;                 583;                 0.8;                 7.5;-;< 0.5;                4.84;-;-;                 0.5;               0.064;                 0.1;                 1.1;                0.35;                0.19;                  33;                0.43
13.4;Poissons et crustacés panés ou en beignets;26002;Carrelet ou plie, pané, frit;                1010;                 242;                1010;                 242;                58.5;                13.4;                13.4;                8.86;                16.8;0;-;                   1;0;                 1.4;0;0;                   2;                 3.4;                10.7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                  60;                0.66;                  27;                 240;               0.052;                0.54;                  22;                22.4;                0.29;                 132;                 234;                  20;                 264;                0.73;0;-;0;0;0;-;0;                0.18;                0.06;                 0.8;                0.82;                0.12;                  27;0
13.4;Poissons et crustacés panés ou en beignets;26016;Limande-sole, panée, frite;                 863;                 206;                 863;                 206;                60.5;                16.7;                16.7;                11.9;                10.2;                   1;-;0;0;                0.69;0;0;                 1.3;                 3.8;                4.63;-;-;-;-;-;-;-;-;-;-;-;-;               0.059;                0.11;-;                0.69;-;-;                0.01;-;                  25;-;traces;-;-;                  73;                 270;                 0.5;-;0;-;                 0.1;-;-;-;                 0.1;                 0.1;                 3.8;                0.29;                0.14;                  13;                   1
13.4;Poissons et crustacés panés ou en beignets;26028;Poisson, croquette ou beignet ou nuggets, frit;                1060;                 255;                1060;                 255;                50.5;                13.2;                13.2;                18.4;                13.7;                 1.6;                15.2;                 2.5;0;                1.71;0;0;                1.69;                 4.6;                5.19;-;-;-;-;               0.013;               0.027;                1.13;                0.45;                 4.6;                4.63;               0.067;-;                0.11;                0.19;                  49;                1.04;                31.1;                 0.8;               0.045;                 0.7;                48.7;                22.3;                0.12;                 130;                 259;                2.13;                 418;                0.41;                   2;0;traces;0;-;-;traces;                0.11;                0.07;                1.24;                0.32;                0.15;                32.2;                1.54
13.4;Poissons et crustacés panés ou en beignets;26029;Poisson pané, surgelé, cru;                1020;                 244;                1020;                 244;                49.5;                  11;                  11;                27.3;                9.82;                 2.2;                20.5;                 0.9;0;                1.43;0;0;                 1.3;                2.57;                 4.8;              0.0023;0;              0.0034;               0.004;              0.0014;               0.038;                1.06;                0.19;                2.16;                4.46;                0.18;              0.0077;               0.055;               0.085;                  28;                0.69;                  18;                 800;               0.059;                0.68;                 110;                  25;                0.18;                 108;                 185;-;                 270;                0.42;                   3;-;0;                6.88;                 4.7;-;0;                0.12;                0.12;                1.54;                0.27;               0.078;                  24;                0.96
13.4;Poissons et crustacés panés ou en beignets;26030;Poisson pané, frit;                 814;                 195;                 814;                 195;                62.2;                11.9;                11.9;                13.2;                10.3;                1.09;                12.1;                 0.9;0;                1.48;0;0;                2.15;                3.61;                4.42;< 0.05;< 0.05;               0.021;                0.01;                0.15;                0.15;                1.34;                0.37;-;-;               0.031;-;                0.15;                0.27;                  36;                0.84;                15.1;                 501;               0.055;                0.45;                   5;                32.4;                0.14;                 164;                 283;                6.24;                 337;                0.39;                  16;0;traces;                 3.8;-;-;< 0.5;               0.062;               0.073;                 1.6;                0.25;                0.12;                  29;                1.95
13.4;Poissons et crustacés panés ou en beignets;26124;Merlan, pané;                 804;                 192;                 804;                 192;                62.2;                12.6;                12.6;                13.4;                9.57;                 1.7;-;                 0.9;0;                 1.3;0;0;                 1.1;                3.42;                4.63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;                0.64;                  48;                 190;0;                 0.7;-;                  33;0;                 260;                 320;-;                 250;0;0;-;0;                2.48;-;-;0;0;0;0;0;0;0;0
13.5;Poissons fumés;25998;Hareng fumé, filet, doux;                 681;                 163;                 681;                 163;-;                16.9;                16.9;0;                10.6;0;-;< 0.5;0;                5.16;0;0;                2.64;                5.04;                2.76;-;-;-;-;-;-;-;-;-;                0.15;                0.12;-;-;-;-;                4.52;-;-;-;-;-;-;-;-;-;-;                1820;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13.5;Poissons fumés;26013;Hareng fumé, au naturel;                 692;                 166;                 692;                 166;                68.3;                16.5;                16.5;0;                11.1;0;0;0;0;                5.43;0;0;                2.23;                1.29;                4.13;< 0.008;< 0.008;< 0.008;< 0.008;               0.011;                0.58;                1.08;                0.11;                0.85;                0.12;               0.092;                0.03;                2.84;                1.06;                49.9;                3.98;                62.4;                2910;< 0.1;                   1;                  40;                34.8;< 0.1;                 155;                 226;                  28;                1590;                 0.6;                  12;0;                  22;                1.35;0;-;0;< 0.04;                0.23;                3.45;                0.55;                0.37;                  10;                11.8
13.5;Poissons fumés;26037;Saumon fumé;                 746;                 178;                 746;                 178;                63.1;                  22;                  22;                1.04;                9.53;0;0;< 0.25;0;                4.16;0;0;                2.22;                3.88;                3.26;< 0.011;< 0.011;< 0.011;< 0.011;               0.015;                0.33;                1.65;                0.23;                1.67;                0.69;                0.24;               0.034;                0.65;                 0.8;                72.1;                3.24;                4.78;                2000;               0.035;                0.21;                  40;                35.2;              0.0098;                 214;                 496;                6.67;                1300;                0.26;                  15;< 8;                5.45;                2.85;0;-;0;                0.23;                 0.1;                  10;                0.71;                   1;                  26;                3.35
13.5;Poissons fumés;26087;Maquereau, fumé;                1020;                 245;                1020;                 245;                58.8;                20.2;                20.2;                0.12;                18.2;0;-;0;0;                 2.7;0;0;                4.35;                1.72;                8.55;-;-;-;-;-;                1.31;                2.34;                0.45;                1.72;                0.36;                0.83;-;                1.29;                2.45;                  80;                1.65;                  25;                1130;                0.09;                0.95;                  78;                36.9;< 0.1;                 227;                 313;                  34;                 659;                0.34;                  47;-;-;                 1.6;0;-;0;                0.12;                 0.3;                9.01;                0.49;                0.47;                13.3;                9.91
13.5;Poissons fumés;26090;Haddock (fumé) ou églefin fumé;                 420;                  99;                 420;                  99;                76.8;                23.5;                23.5;0;                0.57;0;0;0;0;                2.12;0;0;                0.13;               0.098;                0.22;0;0;0;0;0;              0.0062;               0.084;               0.042;               0.035;-;               0.023;-;               0.063;                0.11;                  77;                1.91;                  49;                1200;               0.042;                 1.4;                 250;                  54;                0.03;                 251;                 415;                  28;                 763;                 0.5;                  24;0;                 0.8;                0.55;                 0.1;-;0;               0.047;               0.049;                5.07;                0.17;                 0.4;                  15;                 1.6
13.5;Poissons fumés;26152;Lieu ou colin d'Alaska, fumé;                 344;                81.3;                 344;                81.3;-;                18.3;                18.3;0;                 0.9;0;-;0;0;-;0;0;                 0.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13.5;Poissons fumés;26232;Hareng fumé, à l'huile;                 699;                 168;                 699;                 168;                65.3;                15.1;                15.1;                   2;                  11;0;0;0;0;                6.57;0;0;                2.78;                1.88;                5.28;< 0.01;< 0.01;< 0.01;< 0.01;               0.016;                0.77;                1.32;                0.11;                1.34;                0.21;                0.16;               0.034;                3.03;                1.18;                49.9;                4.08;                59.2;                3820;                 0.1;                 0.9;                  20;                27.4;< 0.1;                 125;                 173;                  17;                1630;                 0.5;                  12;-;                14.5;                0.96;-;-;-;< 0.04;                 0.2;                2.25;                0.41;                0.28;                  10;                 9.4
13.5;Poissons fumés;27029;Truite d'élevage, fumée;                 753;                 180;                 753;                 180;                61.7;                23.4;                23.4;                0.69;                9.27;0;0;0;0;                4.86;0;0;                1.89;                2.76;                 2.6;< 0.008;< 0.008;< 0.008;< 0.008;              0.0044;                0.32;                 1.1;                0.27;                1.41;                0.49;                0.17;               0.042;                0.38;                0.61;                47.9;                3.18;                 2.7;                2460;< 0.1;                 0.4;                  40;                31.4;< 0.1;                 227;                 412;                  23;                1270;                 0.4;                  51;0;                 5.2;                 2.3;-;-;0;                0.21;               0.081;                 7.1;                2.05;                0.67;                  26;                 3.2
13.6;Autres produits à base de poisson (entrées);8059;Rillettes de crabe;                 798;                 192;                 798;                 192;-;                12.2;                12.2;                 3.5;                13.6;                 1.6;-;                 3.5;0;                2.17;0;traces;                 1.1;                 7.8;                3.58;-;-;-;-;-;-;-;-;-;                2.28;                1.18;-;-;-;-;                1.11;-;-;-;-;-;-;-;-;-;-;                 440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13.6;Autres produits à base de poisson (entrées);8081;Rillettes de saumon;                 985;                 237;                 985;                 237;                62.8;                15.1;                15.1;                   2;                18.4;                 0.9;0;                 1.6;0;                1.81;0;traces;                 2.4;                8.68;                 5.7;               0.018;               0.016;< 0.017;< 0.028;               0.044;                0.28;                1.64;                 0.4;                8.41;                2.42;                0.96;                0.04;                0.78;                0.91;                29.9;                 1.3;                  14;                 737;< 0.1;                 0.4;                  10;                  21;< 0.1;                 130;                 222;                  20;                 510;                 0.4;                   6;-;                 2.5;                4.65;-;-;-;               0.056;                0.11;                4.25;                0.42;                0.24;                  19;                2.15
13.6;Autres produits à base de poisson (entrées);8082;Rillettes de thon;                 826;                 199;                 826;                 199;                63.5;                16.4;                16.4;                1.65;                13.8;                 1.2;0;                 1.4;0;                1.71;0;traces;                 1.1;                 6.7;                5.35;< 0.016;< 0.016;< 0.016;< 0.016;< 0.016;               0.037;                0.75;                0.31;                 6.7;                4.01;                0.67;               0.051;                0.14;                0.48;                44.9;                1.24;                18.4;                 707;< 0.1;                 0.7;                   6;                25.5;< 0.1;                 121;                 202;                   8;                 490;                 0.5;                   5;-;                 1.2;                7.09;-;-;-;                0.22;                0.07;                 9.1;< 0.16;                0.36;                  27;                 2.6
13.6;Autres produits à base de poisson (entrées);8083;Rillettes de maquereau;                1020;                 246;                1020;                 246;-;                  11;                  11;                   1;                  22;0;-;0;0;-;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13.6;Autres produits à base de poisson (entrées);8291;Terrine de poisson;                 714;                 171;                 714;                 171;                66.5;                  11;                  11;                 5.5;                11.4;                 0.2;                   4;                 1.4;0;                2.01;0;traces;                   4;                4.07;                2.83;               0.033;               0.025;               0.021;               0.033;               0.046;                0.25;                1.09;                0.32;                4.07;                1.45;                0.63;               0.016;                0.45;                0.28;                37.3;                1.25;                30.5;                 877;< 0.1;                 0.4;                  25;                  19;< 0.1;                  66;                 210;                  13;                 500;                 0.4;                  15;-;                 1.2;                   4;-;-;< 0.5;               0.045;                0.11;                 1.6;                0.32;                0.12;                  23;                1.05
13.6;Autres produits à base de poisson (entrées);8293;Tarama, préemballé;                2200;                 534;                2200;                 534;                  30;                6.75;                6.75;                3.19;                54.8;                0.75;                2.44;                0.74;0;                1.63;0;traces;                4.61;                30.4;                15.4;< 0.049;< 0.049;< 0.049;< 0.049;< 0.049;                0.15;                 2.7;                0.16;                30.2;                9.45;                4.09;< 0.049;                0.41;                0.32;                65.2;                1.69;                 8.5;                 935;< 0.1;                 0.4;                  10;                 6.6;< 0.1;                  79;                80.9;< 5;                 676;                 0.7;                   5;                  53;                0.96;                   9;-;-;< 0.5;                 0.1;               0.095;                0.57;                0.64;               0.084;< 16;                 2.7
13.6;Autres produits à base de poisson (entrées);10042;Escargot en sauce au beurre persillé, cuit;                1150;                 277;                1150;                 277;                57.2;                12.9;                12.9;                2.26;                23.7;                1.02;-;                1.69;0;                3.19;0;traces;                14.8;                5.63;                0.85;                0.85;                0.53;                 0.3;                0.62;                0.75;                2.39;                6.76;                2.18;                4.44;                0.41;                0.11;               0.064;               0.021;< 0.011;                 225;                1.66;-;                 992;                 2.3;                 2.5;< 20;                  35;                0.34;                 150;                  89;< 50;                 665;                 1.2;                 131;-;-;-;                10.4;-;-;               0.065;                0.04;                 0.2;                0.25;               0.069;                14.1;                0.26
13.6;Autres produits à base de poisson (entrées);25537;Carpaccio de saumon avec marinade;                 901;                 217;                 901;                 217;                64.3;                18.3;                18.3;                0.22;                15.8;0;                0.02;                0.26;0;                1.67;0;-;                2.75;                7.22;                3.11;-;-;-;-;-;-;-;-;-;-;-;-;                 0.4;                0.57;                51.9;                0.34;                14.9;-;                0.08;                0.64;                37.9;                24.7;                0.06;                 173;                 279;                19.5;                 135;                0.55;                13.6;-;                4.23;                3.25;-;-;                4.21;                0.25;                0.08;                6.26;                1.46;                0.55;                16.3;                4.33
13.6;Autres produits à base de poisson (entrées);26004;Oeufs de lompe, semi-conserve;                 462;                 111;                 462;                 111;                  76;                10.4;                10.4;                   1;                7.27;0;0;0;0;                 5.1;0;traces;                1.86;                1.34;                3.33;< 0.007;< 0.007;< 0.007;< 0.007;< 0.007;                0.15;                1.14;                0.29;                1.11;               0.074;               0.057;               0.043;                1.36;                1.77;                 253;                4.87;                11.6;                3000;< 0.1;                 0.4;                  60;                   3;< 0.1;                  83;                68.4;                   8;                1950;                 0.8;                  13;0;                2.65;                1.89;                 0.6;-;< 0.5;< 0.04;               0.071;< 0.16;                0.28;                0.08;                  25;                5.45
13.6;Autres produits à base de poisson (entrées);26005;Caviar, semi-conserve;                1060;                 254;                1060;                 254;-;                  25;                  25;traces;                17.1;traces;0;0;0;-;0;traces;                3.21;                4.88;                7.33;-;-;-;-;-;-;-;-;-;-;-;-;                1.36;                1.77;-;-;-;-;                0.04;-;                 117;-;                0.07;-;-;                   8;-;                 0.8;-;-;-;                 1.6;-;-;-;                0.49;               0.071;                0.08;                0.28;                0.08;                  25;                5.45
13.6;Autres produits à base de poisson (entrées);26010;Hareng mariné ou rollmops;                 880;                 211;                 880;                 211;                  67;                13.7;                13.7;                   8;                13.8;                 1.9;                 1.1;0;0;                2.82;0;traces;                2.51;                8.02;                1.92;0;0;               0.016;               0.011;0;                 0.8;                1.55;                0.13;                2.49;                0.39;                0.23;-;                0.57;                0.73;                44.7;                2.56;                53.5;-;                0.11;                1.07;                  47;                 7.2;               0.035;                70.5;                56.5;                  46;                1030;                0.59;                27.3;0;                13.2;                1.48;                 0.2;-;0;               0.033;                0.13;                 2.9;               0.081;                0.19;                 1.9;                 5.1
13.6;Autres produits à base de poisson (entrées);26046;Surimi, bâtonnets, tranche ou râpé saveur crabe;                 525;                 125;                 525;                 125;                72.5;                8.31;                8.31;                11.8;                4.92;                 2.1;                 9.7;< 0.33;0;                2.15;0;traces;                0.38;                1.95;                1.12;< 0.003;< 0.003;< 0.003;< 0.003;< 0.003;               0.015;                0.26;               0.075;                1.94;                0.58;                0.23;              0.0077;               0.095;                 0.2;                10.8;                1.49;                19.9;                1010;                0.04;                 0.4;                  10;                11.5;              0.0089;                  44;                51.8;                 8.3;                 596;                0.19;                  28;0;< 0.5;                 1.1;                 0.1;-;0;                0.02;               0.021;                0.22;                0.07;                0.03;                   2;                0.71
13.6;Autres produits à base de poisson (entrées);26056;Oeufs de cabillaud, fumés, semi-conserve;                 614;                 146;                 614;                 146;                  67;                26.9;                26.9;                 0.1;                 4.2;-;-;0;0;                 1.9;0;traces;                0.56;                0.65;                1.31;-;-;0;0;0;0;                0.47;               0.093;                0.37;               0.093;0;-;                0.37;                0.84;-;                0.73;                 8.2;-;               0.082;                1.11;                 173;                12.8;                0.13;                 453;                 280;-;                 290;                 4.3;                 8.7;-;                27.2;-;-;-;-;-;-;-;-;-;-;-
13.6;Autres produits à base de poisson (entrées);26186;Maquereau, mariné;                 768;                 185;                 768;                 185;                66.6;                16.3;                16.3;traces;                13.3;traces;-;0;0;                2.86;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                2.29;                14.6;-;                0.09;                 0.6;                 285;                13.6;< 0.1;                92.9;                90.8;                  16;                 915;                0.25;                34.5;-;-;-;-;-;-;               0.037;                0.13;                3.18;                0.22;                0.25;                12.4;-
13.6;Autres produits à base de poisson (entrées);26187;Anchois commun, mariné;                 573;                 136;                 573;                 136;                60.2;                23.9;                23.9;                 2.7;                3.26;0;0;0;0;                8.85;0;traces;                0.99;                0.65;                1.29;< 0.003;< 0.003;< 0.003;< 0.003;               0.004;                0.11;                0.64;                0.12;                0.54;                0.31;               0.024;               0.014;                0.35;                0.54;                 105;                5.58;                 120;                5310;                0.17;                 2.8;                   8;                 102;                0.14;                 148;                 159;                  46;                2230;                1.95;                  11;0;                 2.4;                 1.1;-;-;-;< 0.04;                 0.2;                2.75;                0.41;                0.18;                  37;                15.3
13.6;Autres produits à base de poisson (entrées);26239;Surimi, fourré au fromage;                 603;                 144;                 603;                 144;-;                6.35;                6.35;                11.8;                7.85;                2.55;-;< 1;0;                1.85;0;traces;                3.74;                2.85;                0.83;-;-;-;-;-;-;-;-;-;                 0.6;                0.23;-;-;-;-;                1.65;-;-;-;-;-;-;-;-;-;-;                 661;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13.6;Autres produits à base de poisson (entrées);26275;Oeufs de saumon, semi-conserve;                 972;                 232;                 972;                 232;-;                30.4;                30.4;                 1.5;                11.6;                 1.5;-;0;0;                3.92;0;traces;                2.58;                3.09;                   5;-;-;-;-;-;-;-;-;-;                0.17;                0.17;-;-;-;-;                2.82;-;-;-;-;-;-;-;-;-;-;                1130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
